File,Q_cms,S_p,T_cm,x_m,h_cm,z_cm,air,notes
Run1D_11.dat,0.139,0.5,7.8,2.61,15.1,4.8,NaN,no notes on air
Run2A_01.dat,0.100,0.75,8,5.12,11.7,1.7,0,h taken as h_wall
Run2A_02.dat,0.100,0.75,8,5.12,11.7,2.7,0,h taken as h_wall
Run2A_03.dat,0.100,0.75,8,5.12,11.7,3.7,0,h taken as h_wall
Run2A_04.dat,0.100,0.75,8,5.12,11.7,5.7,0,h taken as h_wall
Run2A_05.dat,0.100,0.75,8,5.12,11.7,7.7,0,h taken as h_wall
Run2A_06.dat,0.100,0.75,8,5.12,11.7,9.7,1,Top 2 receivers in air
Run2A_07.dat,0.100,0.75,8,4.00,8.5,2.7,NaN,no notes on air
Run2A_08.dat,0.100,0.75,8,3.85,3.3,0.4,1,all receivers may have had air
Run2A_09.dat,0.100,0.75,8,3.70,3.6,2,NaN,no notes on air
Run2A_10.dat,0.100,0.75,8,2.61,11.7,4.8,NaN,no notes on air
Run2B_01.dat,0.113,0.75,8,5.12,12.2,1.7,0,
Run2B_02.dat,0.113,0.75,8,5.12,12.2,2.7,0,
Run2B_03.dat,0.113,0.75,8,5.12,12.2,3.7,0,
Run2B_04.dat,0.113,0.75,8,5.12,12.2,5.7,0,
Run2B_05.dat,0.113,0.75,8,5.12,12.2,7.7,0,
Run2B_06.dat,0.113,0.75,8,5.12,12.2,9.7,1,Top 2 receivers in air
Run2B_07.dat,0.113,0.75,8,4.00,9.4,3.2,NaN,no notes on air
Run2B_08.dat,0.113,0.75,8,3.85,5,1.6,NaN,no notes on air
Run2B_09.dat,0.113,0.75,8,3.70,4.7,0.8,NaN,no notes on air
Run2B_10.dat,0.113,0.75,8,2.61,12.8,4.8,NaN,no notes on air
Run2C_01.dat,0.127,0.75,8,5.12,13.3,1.7,0,h taken as h_wall
Run2C_02.dat,0.127,0.75,8,5.12,13.3,2.7,0,
Run2C_03.dat,0.127,0.75,8,5.12,13.3,3.7,0,
Run2C_04.dat,0.127,0.75,8,5.12,13.3,5.7,0,
Run2C_05.dat,0.127,0.75,8,5.12,13.3,7.7,0,
Run2C_06.dat,0.127,0.75,8,5.12,13.3,8.7,1,Top 2 receivers in air
Run2C_07.dat,0.127,0.75,8,4.00,10.4,3,NaN,no notes on air
Run2C_08.dat,0.127,0.75,8,3.85,7.8,2.6,NaN,no notes on air
Run2C_09.dat,0.127,0.75,8,3.70,6.1,2.3,NaN,no notes on air
Run2C_10.dat,0.127,0.75,8,2.61,13.7,4.8,NaN,no notes on air
Run2D_01.dat,0.139,0.75,8,5.12,14.9,1.7,0,
Run2D_02.dat,0.139,0.75,8,5.12,14.9,2.7,0,
Run2D_03.dat,0.139,0.75,8,5.12,14.9,3.7,0,
Run2D_04.dat,0.139,0.75,8,5.12,14.9,5.7,0,
Run2D_05.dat,0.139,0.75,8,5.12,14.9,7.7,0,
Run2D_06.dat,0.139,0.75,8,5.12,14.9,10.7,1,Top 1 receiver in air
Run2D_07.dat,0.139,0.75,8,4.00,10.8,7.3,NaN,no notes on air
Run2D_08.dat,0.139,0.75,8,3.85,8.6,7.2,NaN,no notes on air
Run2D_09.dat,0.139,0.75,8,3.70,7.1,6.2,NaN,no notes on air
Run2D_10.dat,0.139,0.75,8,2.61,14.4,4.8,NaN,no notes on air
Run3A_01.dat,0.099,0.75,8,5.12,10.4,1.7,0,
Run3A_02.dat,0.099,0.75,8,5.12,10.4,2.7,0,
Run3A_03.dat,0.099,0.75,8,5.12,10.4,3.7,0,
Run3A_04.dat,0.099,0.75,8,5.12,10.4,5.7,0,
Run3A_05.dat,0.099,0.75,8,5.12,10.4,7.7,1,Top 2 receivers in air
Run3A_06.dat,0.099,0.75,8,4.1,11.4,4.1,0,
Run3A_07.dat,0.099,0.75,8,4,8.4,3.6,0,
Run3A_08.dat,0.099,0.75,8,3.85,5.3,1,1,
Run3A_09.dat,0.099,0.75,8,3.7,5.2,1.4,1,
Run3A_10.dat,0.099,0.75,8,2.61,10.7,4.8,0,
Run3B_01.dat,0.112,0.75,8,5.12,12.0,1.7,0,
Run3B_02.dat,0.112,0.75,8,5.12,12.0,2.7,0,
Run3B_03.dat,0.112,0.75,8,5.12,12.0,3.7,0,
Run3B_04.dat,0.112,0.75,8,5.12,12.0,5.7,0,
Run3B_05.dat,0.112,0.75,8,5.12,12.0,7.7,0,
Run3B_06.dat,0.112,0.75,8,5.12,12.0,8.7,1,Top 1 receiver in air
Run3B_07.dat,0.112,0.75,8,4,9.3,2.9,0,
Run3B_08.dat,0.112,0.75,8,3.85,7.5,2.6,1,
Run3B_09.dat,0.112,0.75,8,3.7,6.3,2.1,1,
Run3B_10.dat,0.112,0.75,8,3.5,6.8,2,1,
Run3B_11.dat,0.112,0.75,8,2.61,11.7,4.8,0,
Run3B_12.dat,0.112,0.75,8,2.61,11.7,4.8,0,accidentally taken twice (copy of Run3B_11)
Run3C_01.dat,0.126,0.75,8,5.12,12.4,1.7,0,
Run3C_02.dat,0.126,0.75,8,5.12,12.4,2.7,0,
Run3C_03.dat,0.126,0.75,8,5.12,12.4,3.7,0,
Run3C_04.dat,0.126,0.75,8,5.12,12.4,5.7,0,
Run3C_05.dat,0.126,0.75,8,5.12,12.4,7.7,0,
Run3C_06.dat,0.126,0.75,8,5.12,12.4,8.7,1,Top 2 receivers in air
Run3C_07.dat,0.126,0.75,8,4,10.7,4.7,0,
Run3C_08.dat,0.126,0.75,8,3.85,8.8,3.1,1,
Run3C_09.dat,0.126,0.75,8,3.7,7.2,1.9,0,
Run3C_10.dat,0.126,0.75,8,3.5,7,2.3,0,
Run3C_11.dat,0.126,0.75,8,2.61,12.3,4.8,0,
Run3D_01.dat,0.139,0.75,8,5.12,12.8,1.7,0,
Run3D_02.dat,0.139,0.75,8,5.12,12.8,2.7,0,
Run3D_03.dat,0.139,0.75,8,5.12,12.8,3.7,0,
Run3D_04.dat,0.139,0.75,8,5.12,12.8,5.7,0,
Run3D_05.dat,0.139,0.75,8,5.12,12.8,7.7,0,
Run3D_06.dat,0.139,0.75,8,5.12,12.8,8.7,1,Top 1 receiver in air
Run3D_07.dat,0.139,0.75,8,4,11.4,4.5,0,
Run3D_08.dat,0.139,0.75,8,3.85,8.9,3.1,0,
Run3D_09.dat,0.139,0.75,8,3.7,7.8,2.1,1,
Run3D_10.dat,0.139,0.75,8,3.5,8,2.5,1,
Run3D_11.dat,0.139,0.75,8,2.61,13.2,4.8,0,
